-55,-62,-65,-49,-57,-56,-60,-61
-54,-58,-62,-53,-55,-53,-47,-52
-54,-57,-76,-44,-58,-54,-47,-53
-54,-60,-60,-50,-59,-58,-62,-60
-52,-79,-66,-54,-67,-65,-61,-66
-54,-68,-62,-52,-66,-64,-59,-70
-54,-60,-60,-49,-58,-67,-58,-69
-54,-62,-62,-48,-59,-57,-50,-52
-53,-63,-69,-48,-52,-53,-50,-60
-55,-57,-62,-47,-58,-53,-58,-60
-51,-55,-61,-50,-63,-51,-56,-62
-50,-63,-62,-48,-71,-63,-66,-61
-52,-62,-57,-48,-60,-59,-57,-74
-55,-60,-61,-49,-62,-58,-60,-69
-56,-60,-64,-50,-53,-55,-62,-57
-53,-54,-69,-48,-57,-54,-61,-61
-55,-62,-69,-50,-55,-53,-59,-62
-52,-55,-66,-49,-52,-54,-59,-58
-54,-55,-63,-49,-55,-60,-57,-61
-53,-60,-60,-51,-62,-55,-59,-66
-52,-60,-59,-47,-65,-59,-57,-68
-52,-65,-61,-46,-64,-55,-57,-62
-53,-65,-66,-45,-69,-53,-62,-65
-54,-59,-66,-47,-61,-51,-59,-67
-54,-56,-60,-49,-59,-60,-60,-65
-52,-68,-62,-47,-59,-56,-66,-61
-51,-62,-59,-49,-63,-53,-60,-67
-51,-61,-60,-48,-62,-60,-61,-62
-54,-61,-68,-54,-59,-60,-59,-67
-53,-63,-69,-53,-66,-59,-63,-66
-53,-62,-60,-53,-62,-59,-58,-58
-54,-55,-61,-53,-57,-52,-58,-74
-52,-57,-60,-47,-59,-56,-56,-64
-54,-58,-60,-47,-58,-61,-70,-59
-54,-58,-72,-48,-58,-50,-58,-60
-53,-61,-62,-49,-61,-56,-63,-63
-54,-59,-62,-49,-54,-59,-69,-59
-55,-60,-63,-47,-67,-57,-62,-79
-58,-62,-64,-48,-65,-59,-64,-64
-53,-63,-64,-48,-64,-59,-63,-64
-51,-57,-61,-50,-58,-59,-58,-67
-53,-53,-58,-52,-59,-61,-64,-64
-49,-56,-64,-70,-55,-61,-47,-65
-56,-55,-61,-51,-66,-61,-59,-74
-51,-53,-61,-46,-59,-54,-61,-66
-53,-65,-64,-48,-58,-48,-58,-62
-53,-58,-61,-46,-53,-53,-55,-59
-51,-59,-66,-52,-60,-59,-59,-64
-57,-62,-64,-52,-56,-61,-60,-69
-53,-65,-62,-52,-54,-49,-50,-68
-55,-58,-62,-52,-67,-50,-44,-51
-52,-57,-65,-56,-49,-52,-58,-55
-58,-55,-64,-58,-53,-50,-64,-66
-55,-54,-62,-55,-58,-51,-63,-60
-58,-53,-53,-54,-68,-54,-56,-50
-56,-54,-56,-56,-52,-55,-60,-56
-53,-60,-60,-62,-51,-56,-62,-57
-58,-57,-64,-54,-51,-54,-64,-54
-52,-58,-59,-51,-54,-51,-48,-53
-50,-61,-62,-49,-55,-47,-48,-58
-56,-58,-59,-51,-57,-54,-59,-61
-56,-61,-62,-50,-59,-61,-60,-60
-49,-63,-58,-48,-62,-56,-73,-67
-50,-63,-58,-51,-59,-53,-63,-61
-53,-59,-61,-52,-57,-62,-60,-64
-50,-56,-63,-46,-59,-59,-62,-61
-59,-62,-63,-53,-59,-59,-66,-63
-59,-56,-61,-57,-57,-53,-68,-69
-53,-65,-59,-53,-52,-56,-64,-57
-50,-59,-55,-53,-52,-53,-75,-62
-53,-57,-64,-48,-63,-57,-63,-70
-52,-59,-61,-49,-65,-66,-58,-61
-56,-61,-60,-48,-59,-60,-65,-62
-54,-58,-69,-49,-69,-56,-67,-67
-52,-54,-58,-49,-65,-56,-76,-65
-49,-55,-61,-48,-63,-51,-62,-63
-48,-58,-60,-53,-59,-56,-65,-68
-53,-57,-70,-57,-53,-60,-62,-62
