-55,-62,-70,-49,-59,-56,-63,-60
-58,-57,-72,-47,-61,-59,-69,-58
-61,-59,-63,-47,-59,-59,-55,-59
-54,-56,-73,-46,-58,-65,-60,-65
-59,-60,-62,-51,-57,-59,-66,-62
-60,-61,-62,-48,-58,-68,-63,-65
-55,-73,-70,-44,-60,-56,-62,-55
-55,-56,-70,-48,-65,-57,-64,-57
-53,-60,-68,-50,-59,-52,-66,-68
-53,-59,-69,-53,-64,-55,-66,-60
-57,-58,-69,-50,-62,-71,-62,-59
-51,-53,-66,-51,-62,-71,-60,-67
-56,-58,-56,-50,-60,-58,-64,-64
-53,-67,-68,-50,-61,-69,-59,-61
-57,-62,-67,-48,-63,-61,-59,-59
-50,-68,-64,-51,-58,-57,-70,-59
-57,-67,-72,-48,-53,-61,-61,-57
-55,-60,-68,-50,-53,-66,-56,-56
-51,-62,-68,-46,-52,-56,-62,-56
-55,-66,-71,-50,-58,-65,-55,-58
-56,-60,-67,-45,-72,-55,-60,-59
-55,-60,-50,-48,-59,-51,-60,-55
-56,-64,-62,-49,-54,-62,-63,-57
-55,-63,-68,-49,-53,-55,-54,-59
-57,-68,-68,-48,-50,-50,-55,-62
-58,-63,-79,-53,-50,-65,-47,-64
-57,-63,-74,-51,-53,-62,-53,-63
-63,-59,-70,-66,-54,-65,-46,-58
-60,-58,-67,-47,-53,-58,-52,-61
-71,-55,-67,-48,-55,-58,-52,-58
-54,-55,-65,-51,-52,-62,-58,-60
-58,-65,-62,-49,-54,-65,-59,-55
-54,-64,-66,-53,-55,-54,-55,-56
-57,-62,-66,-55,-48,-70,-54,-57
-54,-60,-61,-51,-55,-57,-58,-58
-52,-56,-77,-50,-63,-55,-59,-57
-55,-59,-77,-51,-63,-54,-58,-63
-55,-68,-65,-48,-53,-56,-67,-65
-58,-56,-67,-47,-49,-55,-63,-58
-53,-58,-67,-50,-52,-54,-59,-56
-50,-59,-66,-49,-63,-57,-59,-59
-51,-57,-71,-49,-68,-66,-64,-59
-57,-58,-67,-46,-61,-58,-69,-58
-55,-62,-63,-46,-50,-53,-65,-61
-54,-57,-63,-47,-56,-56,-61,-56
-60,-65,-61,-45,-54,-59,-54,-58
-56,-69,-63,-50,-66,-53,-57,-56
-58,-65,-68,-46,-61,-58,-60,-55
-54,-54,-64,-48,-56,-69,-75,-55
-57,-58,-67,-48,-56,-54,-61,-62
-59,-66,-61,-46,-57,-68,-77,-60
-56,-62,-67,-48,-57,-60,-59,-65
-55,-59,-65,-44,-59,-60,-61,-61
-55,-58,-65,-44,-52,-67,-57,-54
-56,-57,-69,-49,-65,-63,-67,-56
-62,-58,-71,-48,-63,-59,-61,-63
-53,-59,-68,-50,-66,-57,-62,-58
-56,-55,-69,-46,-63,-61,-63,-60
-56,-60,-64,-45,-61,-55,-63,-57
-57,-70,-67,-45,-57,-77,-76,-56
-59,-70,-63,-47,-59,-67,-67,-60
-52,-63,-63,-51,-59,-67,-63,-62
-56,-57,-63,-48,-65,-66,-60,-59
-52,-59,-63,-49,-60,-63,-58,-61
-51,-53,-70,-50,-61,-64,-60,-59
-53,-56,-68,-51,-74,-55,-62,-59
-51,-63,-65,-47,-62,-61,-63,-62
-51,-52,-64,-44,-70,-56,-61,-60
-57,-58,-61,-44,-62,-67,-61,-61
-56,-62,-69,-45,-61,-57,-62,-62
-56,-64,-66,-47,-56,-57,-65,-55
-58,-59,-63,-48,-54,-56,-60,-75
-58,-59,-63,-48,-61,-56,-61,-58
-62,-61,-63,-45,-56,-68,-68,-55
-62,-57,-71,-52,-52,-62,-65,-57
-54,-65,-62,-44,-58,-66,-66,-57
-52,-61,-65,-48,-58,-53,-66,-56
-52,-65,-68,-52,-61,-57,-67,-57
-53,-64,-70,-45,-61,-54,-62,-62
-57,-60,-67,-48,-56,-59,-60,-61
-58,-62,-69,-50,-52,-63,-58,-61
-56,-56,-67,-49,-49,-63,-52,-59
-66,-61,-72,-51,-49,-63,-64,-60
-61,-56,-71,-51,-56,-64,-62,-61
-59,-55,-63,-50,-56,-59,-61,-60
-52,-65,-58,-55,-56,-53,-58,-59
-56,-67,-60,-50,-48,-53,-57,-52
-58,-59,-62,-48,-61,-57,-56,-62
-52,-62,-59,-49,-57,-60,-56,-59
-53,-59,-62,-50,-68,-55,-63,-56
-52,-59,-67,-49,-61,-53,-61,-57
-54,-62,-65,-47,-60,-63,-71,-60
-53,-61,-67,-49,-75,-51,-61,-59
-53,-59,-67,-48,-61,-53,-66,-63
-54,-57,-66,-46,-64,-51,-63,-58
-52,-57,-66,-45,-66,-58,-59,-61
-57,-58,-64,-48,-67,-56,-60,-64
-53,-56,-64,-45,-66,-61,-57,-57
-56,-57,-60,-49,-63,-62,-57,-70
-55,-51,-60,-50,-63,-58,-66,-56
-50,-56,-65,-45,-77,-56,-63,-61
-55,-49,-61,-47,-64,-64,-57,-69
-61,-49,-65,-46,-60,-66,-68,-75
-58,-54,-65,-51,-69,-60,-62,-59
-57,-53,-67,-47,-71,-68,-65,-61
-59,-54,-62,-48,-67,-68,-63,-60
-56,-52,-64,-48,-63,-61,-66,-57
-55,-57,-59,-46,-61,-59,-64,-65
-54,-55,-66,-45,-63,-68,-59,-66
-57,-57,-67,-46,-66,-57,-56,-61
-54,-62,-63,-46,-66,-60,-52,-59
-62,-55,-59,-41,-64,-71,-61,-70
-51,-60,-61,-45,-73,-62,-57,-62
-55,-55,-69,-47,-66,-64,-67,-60
-54,-52,-58,-49,-66,-62,-64,-60
-58,-54,-63,-47,-67,-61,-63,-62
-55,-54,-65,-46,-69,-69,-64,-58
-58,-53,-63,-66,-67,-74,-68,-67
-59,-65,-58,-47,-64,-66,-66,-58
-58,-54,-66,-48,-64,-67,-73,-58
-57,-54,-68,-46,-70,-61,-62,-62
-46,-53,-61,-49,-62,-65,-68,-60
-51,-56,-68,-48,-62,-68,-65,-64
-51,-52,-67,-47,-69,-61,-63,-59
-52,-57,-67,-49,-62,-63,-68,-58
-55,-71,-73,-47,-68,-65,-60,-57
-53,-66,-62,-47,-59,-57,-65,-60
-58,-60,-66,-50,-61,-55,-58,-61
-56,-55,-59,-46,-61,-57,-64,-56
-55,-51,-62,-46,-67,-65,-56,-61
-54,-60,-65,-46,-62,-60,-62,-61
-54,-67,-72,-47,-65,-57,-61,-67
-58,-65,-69,-49,-59,-55,-62,-58
-60,-57,-67,-44,-68,-53,-63,-56
-56,-65,-71,-48,-52,-55,-61,-58
-52,-64,-69,-45,-63,-55,-67,-62
-53,-63,-71,-52,-69,-55,-61,-60
-53,-66,-52,-48,-67,-61,-60,-62
-56,-66,-72,-51,-65,-51,-64,-63
-58,-63,-66,-48,-59,-56,-61,-59
-59,-58,-65,-48,-53,-53,-58,-63
-59,-65,-65,-49,-55,-59,-59,-59
-56,-65,-65,-49,-73,-54,-58,-60
-57,-61,-63,-47,-62,-62,-59,-59
-56,-60,-65,-46,-75,-57,-68,-66
-56,-58,-66,-48,-67,-64,-61,-63
-53,-59,-63,-47,-66,-62,-67,-59
-55,-61,-63,-48,-66,-60,-66,-55
-60,-63,-68,-47,-63,-60,-68,-60
-59,-58,-65,-46,-62,-70,-67,-58
-55,-59,-64,-46,-60,-58,-65,-60
-53,-59,-67,-46,-60,-61,-71,-61
