-55,-61,-63,-51,-57,-66,-58,-64
-52,-59,-57,-52,-53,-63,-59,-57
-55,-62,-59,-56,-61,-63,-62,-56
-56,-53,-63,-54,-60,-65,-58,-61
-53,-54,-62,-51,-57,-67,-56,-59
-54,-52,-62,-54,-58,-62,-65,-57
-57,-53,-58,-63,-54,-63,-63,-59
-58,-54,-76,-51,-58,-61,-67,-57
-55,-56,-60,-53,-53,-58,-59,-59
-53,-55,-62,-54,-57,-63,-67,-59
-57,-62,-59,-49,-55,-64,-71,-57
-56,-64,-61,-51,-51,-61,-56,-59
-59,-55,-60,-53,-50,-61,-58,-60
-57,-61,-60,-51,-52,-63,-60,-57
-55,-65,-73,-51,-53,-62,-58,-55
-58,-61,-61,-49,-54,-65,-56,-55
-62,-64,-59,-48,-52,-61,-57,-53
-60,-54,-64,-50,-53,-65,-55,-54
-58,-55,-59,-49,-59,-58,-52,-57
-57,-57,-62,-47,-58,-59,-51,-57
-55,-60,-62,-47,-55,-61,-64,-59
-55,-61,-59,-49,-54,-57,-58,-56
-52,-54,-58,-49,-60,-61,-59,-56
-60,-57,-59,-48,-57,-65,-61,-56
-57,-58,-58,-46,-56,-67,-69,-55
-57,-65,-59,-51,-52,-55,-62,-53
-53,-59,-62,-50,-58,-62,-69,-54
-58,-58,-58,-49,-55,-59,-58,-59
-58,-56,-60,-50,-58,-56,-57,-56
-59,-54,-58,-50,-71,-62,-67,-52
-59,-54,-61,-48,-76,-63,-65,-57
-59,-54,-56,-47,-61,-72,-60,-57
-63,-55,-60,-46,-67,-59,-57,-50
-52,-54,-57,-46,-59,-58,-54,-66
-59,-57,-65,-50,-55,-58,-50,-68
-56,-56,-59,-49,-56,-65,-63,-58
-60,-61,-58,-49,-65,-65,-61,-56
-54,-65,-60,-48,-67,-64,-57,-58
-63,-58,-57,-51,-67,-55,-52,-55
-61,-57,-57,-48,-64,-59,-56,-58
-60,-56,-59,-46,-53,-59,-58,-60
-57,-57,-56,-49,-56,-56,-59,-57
-60,-59,-54,-47,-53,-59,-59,-56
-59,-55,-56,-51,-56,-60,-62,-57
-57,-57,-58,-48,-57,-60,-62,-55
-61,-57,-57,-47,-56,-62,-62,-57
-61,-55,-54,-50,-58,-58,-58,-54
-56,-55,-56,-48,-53,-63,-53,-54
-55,-52,-59,-48,-55,-59,-49,-57
-60,-55,-59,-45,-59,-59,-54,-58
-58,-57,-64,-47,-56,-57,-53,-59
-60,-56,-57,-47,-57,-60,-62,-55
-53,-57,-63,-48,-58,-58,-69,-58
-60,-61,-60,-49,-60,-54,-63,-62
-56,-60,-62,-46,-61,-60,-60,-57
-60,-52,-61,-47,-60,-59,-58,-61
-60,-58,-63,-46,-61,-54,-52,-58
-62,-55,-54,-47,-59,-58,-55,-61
-58,-52,-61,-47,-61,-65,-51,-58
-65,-55,-62,-49,-58,-62,-52,-74
-55,-59,-62,-46,-58,-62,-56,-61
-58,-56,-55,-43,-68,-60,-56,-60
-61,-56,-60,-48,-58,-56,-55,-54
-57,-54,-57,-49,-64,-59,-68,-56
-57,-54,-60,-46,-60,-59,-62,-56
-63,-58,-64,-46,-70,-62,-61,-55
-60,-56,-58,-46,-64,-51,-60,-58
-61,-56,-61,-47,-67,-59,-63,-57
-66,-58,-60,-47,-59,-55,-61,-56
-65,-58,-61,-52,-70,-55,-53,-58
-67,-57,-64,-49,-65,-59,-51,-58
-60,-57,-62,-48,-61,-59,-53,-57
-60,-54,-60,-49,-51,-53,-55,-52
-60,-58,-59,-50,-54,-59,-57,-55
-59,-63,-61,-49,-53,-58,-52,-55
-67,-61,-62,-49,-60,-60,-52,-56
-60,-59,-58,-48,-64,-57,-54,-57
-55,-57,-62,-48,-56,-56,-53,-56
-57,-56,-62,-46,-55,-60,-58,-52
-54,-51,-60,-48,-51,-59,-57,-52
-61,-56,-56,-50,-61,-66,-61,-56
-61,-54,-59,-50,-55,-63,-61,-57
-58,-55,-71,-49,-58,-61,-69,-59
-62,-57,-55,-50,-54,-59,-64,-53
-59,-56,-56,-47,-57,-62,-56,-57
-67,-60,-55,-49,-53,-58,-55,-57
-59,-57,-57,-48,-55,-63,-58,-51
-59,-57,-62,-45,-53,-58,-52,-56
-61,-63,-75,-49,-53,-57,-49,-56
-61,-57,-62,-50,-54,-59,-50,-57
-69,-60,-66,-52,-59,-57,-53,-58
-63,-56,-62,-49,-63,-59,-46,-51
-59,-51,-61,-46,-56,-59,-51,-58
-56,-59,-60,-49,-53,-61,-51,-54
-59,-55,-57,-47,-59,-60,-56,-55
-60,-55,-58,-48,-59,-62,-56,-58
-55,-57,-59,-48,-56,-62,-51,-59
-55,-52,-60,-48,-63,-57,-53,-50
-51,-57,-60,-49,-55,-62,-57,-58
-61,-55,-58,-49,-58,-61,-57,-53
-59,-62,-60,-48,-61,-60,-58,-58
-60,-56,-61,-48,-63,-60,-63,-57
-58,-62,-62,-50,-59,-55,-68,-58
-58,-60,-57,-50,-56,-60,-56,-56
-60,-61,-61,-46,-55,-66,-54,-55
-61,-60,-57,-49,-77,-63,-63,-55
-58,-61,-61,-48,-63,-58,-57,-54
-62,-59,-59,-46,-61,-61,-54,-57
-60,-65,-59,-47,-56,-66,-55,-56
-54,-60,-60,-49,-63,-64,-59,-64
-55,-66,-59,-51,-58,-69,-63,-56
-51,-65,-62,-48,-56,-69,-63,-55
-54,-60,-64,-50,-56,-60,-53,-51
-57,-60,-59,-51,-59,-62,-59,-58
-52,-68,-61,-48,-61,-61,-70,-56
-55,-56,-60,-49,-61,-60,-58,-60
-51,-61,-54,-51,-58,-59,-55,-56
-60,-60,-61,-47,-59,-56,-61,-56
-55,-55,-59,-50,-53,-60,-59,-55
-75,-55,-58,-47,-59,-59,-55,-58
-57,-57,-67,-45,-62,-60,-53,-65
-52,-54,-59,-48,-59,-58,-52,-59
-59,-53,-61,-47,-52,-65,-50,-63
-54,-52,-55,-49,-56,-67,-59,-61
-68,-63,-57,-63,-52,-65,-56,-58
-65,-58,-58,-55,-52,-67,-54,-57
-69,-53,-63,-62,-47,-64,-55,-59
-62,-58,-62,-50,-58,-63,-54,-53
